KIT Items,Description,Quantity,Unit Price ($),Total Price ($),URL
,,,,,
SEEED Studios XIAO RP2040,Microcontroller,1,6.57,6.57,https://robu.in/product/seeed-studio-xiao-rp2040-v1-0/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWeYWNRmcx8ltLfEba7vuRRYA&gclid=Cj0KCQjw4a3OBhCHARIsAChaqJPv_4slVTihDQzkRLe5e0dlJOaIeCcY8uut1XXxsUtTpqTyIhwtIGcaArRpEALw_wcB
Cherry MX Switches ,Switches,1,0.399,3.99 (MOQ 10),https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/cherry-mx-rgb-switch/?gad_source=1&gad_campaignid=20425595467&gbraid=0AAAAAC4dMgMU1HuRq53r4s0Cd5STbQPNL&gclid=Cj0KCQjw4a3OBhCHARIsAChaqJPxKBLmkhkZfXtiosdkEwHmMNmiAULhRjFGPPOMqbFL67nfW-uKcXcaAmjDEALw_wcB
Blank Cherry MX-Style Keycaps,Keycaps,1,0.212,1.06 (MOQ 5),https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/blank-dsa-keycaps-1u/?gad_source=1&gad_campaignid=20425595467&gbraid=0AAAAAC4dMgMU1HuRq53r4s0Cd5STbQPNL&gclid=Cj0KCQjw4a3OBhCHARIsAChaqJM86oVGJzZscFiTDbwFCYtYNqiEXwMxCDnyByqrN93T_I7NtUq7VCcaAqj3EALw_wcB
Alps EC-11 Rotary Encoder,Knob,1,1.28,1.28,https://roboticsdna.in/product/rotary-encoder-module-for-arduino-brick-sensor-development-round-audio-rotating-potentiometer-knob-cap-ec11/?src=google&kwd=&adgroup={adgroup}&device=c&campaign={campaign}&adgroup={adgroup}&keyword=&matchtype=&gad_source=1&gad_campaignid=23316242547&gbraid=0AAAAAC-xzeHY0FijmdQNPtr4itvem1hGs&gclid=Cj0KCQjw4a3OBhCHARIsAChaqJP2QiBAWAwZDSNucSOzCICBW6ZYiYr0m7f1rvGtN1w3k9hZ6swTzwcaAq8cEALw_wcB
M3x16mm Screws,Case Screws,1,2.99,2.99,https://www.amazon.in/Immech-Socket-Stainless-Machine-Quantity/dp/B07XYRXMML
M3x5x4mm Heat-Set Inserts,Case Screw Inserts,1,0.95,0.95,https://robu.in/product/m3-x-4-mm-brass-heat-set-knurl-threaded-round-insert-nut-25-pcs/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWeItIkIgXpwjzo7oT8tX4_0U&gclid=Cj0KCQjw4a3OBhCHARIsAChaqJNy4ZfRZ3Szeahjfpc07Ln294QJeywSXnuXDjkVqYGlOtlj8hgKB2YaAj1lEALw_wcB
,,,,,
FINAL PRICE FOR KIT ITEMS:,$16.84,(COMES WITH THE KIT!!!),,,
,,,,,
CASE Items,Description,Quantity,Unit Price ($),Total Price ($),URL
,,,,,
3D-printed case (SELF-PROVIDED),Approx. 156g of PLA,1,1.76,1.76,
,,,,,
LionCircuits,PCB for Hackpad,1,0.8,4 (MOQ 5),https://order.lioncircuits.com/projectdetails/212426/quotation
,,,,,
,,,,,
FINAL PRICE FOR GRANT:,$16.84,,,,